x,capped,stacked,final
-200.0,-85.0,-200.0,-200.0
-195.96,-82.98,-195.96,-195.96
-191.92,-80.96,-191.92,-191.92
-187.88,-78.94,-187.88,-187.88
-183.84,-76.92,-183.84,-183.84
-179.8,-74.9,-179.8,-179.8
-175.76,-72.88,-175.76,-175.76
-171.72,-70.86,-171.72,-171.72
-167.68,-68.84,-167.68,-167.68
-163.64,-66.82,-163.64,-163.64
-159.6,-64.8,-159.6,-159.6
-155.56,-62.78,-155.56,-155.56
-151.52,-60.76,-151.52,-151.52
-147.47,-58.74,-147.47,-147.47
-143.43,-56.72,-143.43,-143.43
-139.39,-54.7,-139.39,-139.39
-135.35,-52.68,-135.35,-135.35
-131.31,-50.66,-131.31,-131.31
-127.27,-48.64,-127.27,-127.27
-123.23,-46.62,-123.23,-123.23
-119.19,-44.6,-119.19,-119.19
-115.15,-42.58,-115.15,-115.15
-111.11,-40.56,-111.11,-111.11
-107.07,-38.54,-107.07,-107.07
-103.03,-36.52,-103.03,-103.03
-98.99,-34.49,-98.99,-98.99
-94.95,-32.47,-94.95,-94.95
-90.91,-30.45,-90.91,-90.91
-86.87,-28.43,-86.87,-86.87
-82.83,-26.41,-82.83,-82.83
-78.79,-24.39,-78.79,-78.79
-74.75,-22.37,-74.75,-74.75
-70.71,-20.35,-70.71,-70.71
-66.67,-18.33,-66.67,-66.67
-62.63,-16.31,-62.63,-62.63
-58.59,-14.29,-58.59,-58.59
-54.55,-12.27,-54.55,-54.55
-50.51,-10.25,-50.51,-50.51
-46.46,-8.23,-46.46,-46.46
-42.42,-6.21,-42.42,-42.42
-38.38,-4.19,-38.38,-38.38
-34.34,-2.17,-34.34,-34.34
-30.3,-0.15,-30.3,-30.3
-26.26,1.87,-26.26,-26.26
-22.22,3.89,-22.22,-22.22
-18.18,5.91,-18.18,-18.18
-14.14,7.93,-14.14,-14.14
-10.1,9.95,-10.1,-10.1
-6.06,11.97,-6.06,-6.06
-2.02,13.99,-2.02,-2.02
2.02,16.01,2.02,2.02
6.06,18.03,6.06,6.06
10.1,20.05,10.1,10.1
14.14,22.07,14.14,14.14
18.18,24.09,18.18,18.18
22.22,26.11,22.22,22.22
26.26,28.13,26.26,26.26
30.3,30.3,30.3,30.3
34.34,34.34,34.34,34.34
38.38,38.38,38.38,38.38
42.42,42.42,42.42,42.42
46.46,46.46,46.46,46.46
50.51,50.51,50.51,50.51
54.55,54.55,54.55,54.55
58.59,58.59,58.59,58.59
62.63,62.63,62.63,62.63
66.67,66.67,66.67,66.67
70.71,70.71,70.71,70.71
74.75,74.75,74.75,74.75
78.79,78.79,78.79,78.79
82.83,82.83,82.83,82.83
86.87,86.87,86.87,86.87
90.91,90.91,90.91,90.91
94.95,94.95,94.95,94.95
98.99,98.99,98.99,98.99
103.03,103.03,103.03,103.03
107.07,107.07,107.07,107.07
111.11,111.11,111.11,111.11
115.15,115.15,115.15,115.15
119.19,119.19,119.19,119.19
123.23,123.23,123.23,123.23
127.27,127.27,127.27,127.27
131.31,131.31,131.31,131.31
135.35,135.35,135.35,135.35
139.39,139.39,139.39,139.39
143.43,143.43,143.43,143.43
147.47,147.47,147.47,147.47
151.52,151.52,151.52,151.52
155.56,155.56,155.56,155.56
159.6,159.6,159.6,159.6
163.64,163.64,163.64,163.64
167.68,167.68,167.68,167.68
171.72,171.72,171.72,171.72
175.76,175.76,175.76,175.76
179.8,179.8,179.8,179.8
183.84,183.84,183.84,183.84
187.88,187.88,187.88,187.88
191.92,191.92,191.92,191.92
195.96,195.96,195.96,195.96
200.0,200.0,200.0,200.0
